1628172300000,37999.98000000,38467.99000000,37991.18000000,38342.25000000,1237.58553100,1628172599999,47385355.20961035,21654,740.49320700,28348103.28186508,0
1628172600000,38342.25000000,38425.00000000,38172.26000000,38401.99000000,578.40305100,1628172899999,22161549.66501120,11543,312.93216300,11990028.69988085,0
1628172900000,38403.81000000,38532.62000000,38350.15000000,38532.62000000,865.62850100,1628173199999,33285535.35005401,13680,479.62470500,18445319.40250638,0
1628173200000,38530.98000000,38537.50000000,38319.59000000,38427.63000000,587.46644400,1628173499999,22567674.23363282,9476,227.50896300,8740342.21652830,0
1628173500000,38427.63000000,38450.00000000,38312.52000000,38372.78000000,280.66948100,1628173799999,10768070.34285235,5923,129.39829600,4963900.36384357,0
1628173800000,38372.78000000,38425.27000000,38285.81000000,38410.76000000,368.74439500,1628174099999,14139923.90261686,5935,143.97186100,5522192.27914448,0
1628174100000,38410.76000000,38500.00000000,38380.87000000,38492.82000000,350.01870000,1628174399999,13452948.79971412,5858,193.66998000,7444361.83295716,0
1628174400000,38492.81000000,38764.86000000,38479.99000000,38697.01000000,834.77820700,1628174699999,32262897.21196139,15082,437.70894900,16915862.32540184,0
1628174700000,38697.01000000,38953.62000000,38620.15000000,38850.12000000,892.41673500,1628174999999,34647998.01929969,13914,592.05963700,22993629.34004685,0
1628175000000,38850.13000000,38935.00000000,38783.71000000,38812.06000000,568.40511000,1628175299999,22083591.09330876,7569,297.12390900,11543250.57441805,0
1628175300000,38812.06000000,39048.73000000,38800.00000000,39002.78000000,588.65950300,1628175599999,22907464.97395258,9747,336.09816200,13080689.83776438,0
1628175600000,39005.30000000,39005.30000000,38826.89000000,38911.19000000,412.19234100,1628175899999,16040068.39056534,8508,180.52158900,7023687.70877255,0
1628175900000,38911.18000000,38989.98000000,38850.00000000,38982.77000000,260.34469500,1628176199999,10127798.73103898,5520,135.70874300,5279281.32107741,0
1628176200000,38983.76000000,39333.33000000,38967.22000000,39208.53000000,993.00777300,1628176499999,38944044.77541742,19617,604.21154500,23693470.32851511,0
1628176500000,39210.36000000,39343.75000000,39160.01000000,39239.61000000,382.43994800,1628176799999,15003003.56293982,9748,202.14200000,7930784.25585154,0
1628176800000,39239.61000000,39326.13000000,39103.18000000,39199.73000000,329.70246400,1628177099999,12929790.21242526,8160,158.27374700,6207512.23802464,0
1628177100000,39199.73000000,39360.00000000,39167.38000000,39290.30000000,291.57243100,1628177399999,11450641.57291612,7046,135.53350200,5321817.53867711,0
1628177400000,39290.29000000,39369.47000000,39220.00000000,39245.04000000,315.91963400,1628177699999,12418462.83797112,6541,145.31156400,5712184.73577381,0
1628177700000,39245.04000000,39302.60000000,39241.24000000,39294.60000000,160.38818300,1628177999999,6300055.37118515,4073,79.57301700,3125577.70666450,0
1628178000000,39292.10000000,39370.00000000,39142.01000000,39213.39000000,351.83627500,1628178299999,13809979.43631610,6553,165.04706000,6478792.76013658,0
1628178300000,39213.39000000,39215.91000000,38750.00000000,38832.09000000,788.94801700,1628178599999,30736830.57886360,13897,321.78901100,12538684.40880927,0
1628178600000,38816.92000000,38867.52000000,38545.59000000,38618.91000000,869.13453200,1628178899999,33622969.37933576,15610,369.88580400,14306502.58618441,0
1628178900000,38618.92000000,38852.92000000,38570.24000000,38750.01000000,456.51679700,1628179199999,17689783.80435053,7713,211.06240400,8179890.28992551,0
1628179200000,38750.00000000,39115.69000000,38737.31000000,39100.52000000,480.83536000,1628179499999,18698318.76318608,10196,218.75876100,8507368.80209730,0
1628179500000,39100.51000000,39450.00000000,39058.10000000,39294.06000000,1003.81432200,1628179799999,39448841.83894403,17515,582.06040600,22880638.91383488,0
1628179800000,39294.05000000,39376.70000000,39043.67000000,39206.73000000,599.94804400,1628180099999,23529007.97266531,9732,278.81920000,10938549.44010710,0
1628180100000,39206.73000000,39350.00000000,39156.80000000,39261.40000000,349.47055400,1628180399999,13734902.93280584,7053,163.15071100,6411672.63211572,0
1628180400000,39261.40000000,39326.16000000,39225.95000000,39257.56000000,247.71706200,1628180699999,9728591.01548710,4463,103.04644300,4046911.64380136,0
1628180700000,39256.87000000,39300.00000000,39170.05000000,39288.33000000,210.25123600,1628180999999,8247591.43069323,5490,88.94138500,3488922.85407363,0
1628181000000,39288.33000000,39320.00000000,38931.95000000,39193.67000000,586.31494300,1628181299999,22936286.19623432,10309,305.10375200,11936833.66354116,0
1628181300000,39193.67000000,39265.00000000,39150.00000000,39183.00000000,258.72602900,1628181599999,10144953.02268854,5258,112.48970400,4410461.46409195,0
1628181600000,39185.75000000,39349.00000000,39174.37000000,39309.20000000,283.25342600,1628181899999,11125874.81821022,5163,134.49477700,5282671.06556971,0
1628181900000,39309.19000000,39410.00000000,39268.08000000,39407.44000000,294.35741200,1628182199999,11585530.71237980,5775,156.19731000,6148233.46551142,0
1628182200000,39407.44000000,39740.00000000,39405.66000000,39675.19000000,906.71245100,1628182499999,35893419.70431314,19438,556.55720500,22030103.38235650,0
1628182500000,39675.19000000,39779.00000000,39600.48000000,39739.72000000,420.03672200,1628182799999,16683831.87888824,9629,211.33279300,8395047.40379161,0
1628182800000,39739.72000000,39895.00000000,39655.38000000,39738.11000000,759.10604300,1628183099999,30217495.50628360,17360,417.00676700,16600634.68034722,0
1628183100000,39738.12000000,39763.32000000,39659.02000000,39707.61000000,372.33483500,1628183399999,14785403.85743393,7853,182.00958800,7227502.01838490,0
1628183400000,39707.60000000,39990.00000000,39699.99000000,39982.05000000,576.90772200,1628183699999,23008019.93211404,12385,367.70754000,14662795.69504305,0
